NOX,DATE,RAIN,TEMP,SOLR,BP,WSPD
48.4,1,0.34,0.5,8,999,2.3
56.1,2,0.3,0.3,11,1009,2.1
32.3,3,0.08,-0.6,9,1017,1.9
183.5,4,0.24,-3.4,8,1012,1.3
151.5,5,5.13,-2.7,12,998,1.3
45,6,1.94,-0.5,4,997,2.3
47,7,0.92,-4.6,7,1004,2.7
47.8,8,0.41,-3.7,7,1015,2.4
17.7,9,1.49,-2.1,8,1016,3.3
15.7,10,2.54,-1.2,8,1011,2.6
76.9,11,0.85,0.7,7,1013,0.9
62,12,2.27,0.7,11,1003,2.2
84.3,13,5.82,0.2,11,994,1.6
107.1,14,2.08,1,9,999,1.3
55.9,15,3.33,3.2,17,1012,2
26.9,16,8.91,4.6,6,1002,2.4
58.5,17,0.2,5.4,11,1011,2.1
141.60001,18,0.02,5.4,16,1019,1.1
108.4,19,1.76,5.5,9,1017,1.7
31.3,20,2.45,3.2,6,1007,2.5
111,21,2.73,4.2,12,1014,1.1
34.5,22,8.7,4.4,6,1013,2.1
46,23,0.06,4,10,1015,1.6
49.9,24,2.2,2.8,18,1019,1.4
28.1,25,0.35,2.7,10,1025,2
37.9,26,0,2.1,18,1034,2.1
113.9,27,0.68,3.1,16,1023,2.1
46,28,7.21,4,21,1007,2.2
35.8,29,0.37,4,15,987,2.9
53.2,30,0.07,0.5,10,994,2.1
73.4,31,0.06,0.3,21,999,1.7
65.3,32,0.73,1.9,15,1007,2.2
35.8,33,1.95,3.9,14,1001,3.5
65.3,34,1.65,2.5,19,1003,1.5
41.6,35,4.76,3.9,14,1001,2.2
48,36,1,6.7,21,996,2.1
39.7,37,0.04,3.4,17,1009,2.4
22.1,38,0.97,2.6,16,1017,2
19,39,1.24,1.6,10,1006,3.1
23.7,40,0.2,2.5,23,1006,2.8
22.1,41,0.12,1.6,19,1010,3.6
29.7,42,0.83,0.4,16,1015,3.2
32.5,43,0.4,2,18,1017,2.2
23.5,44,0.53,2.3,23,1016,2.3
34.2,45,0.57,2.2,15,1010,1.3
80.8,46,3.19,2.2,24,1000,1.2
34.3,47,8.78,3,13,988,2
71.2,48,0.63,1.2,16,986,1.3
106.5,49,6.12,0.7,16,984,1.5
64,50,0.44,1.8,23,987,2.3
109.2,51,2.17,1.3,19,992,1.2
39,52,16.02,1.7,20,987,1.5
26.5,53,4.36,1.1,16,981,2.7
32.8,54,4.39,2.2,18,987,2.7
43.6,55,4.8,4.4,23,986,1.7
28.1,56,10.75,6.2,26,982,2.5
21.6,57,2.14,5.3,30,984,4.8
22.1,58,17.65,4.9,28,989,2.4
20.6,59,5.09,4.2,17,984,3.2
107.7,60,0.14,3.8,16,1005,1.6
180.89999,61,0.03,3.5,14,1017,1.3
22,62,0,3.1,39,1016,2.9
31.2,63,0.09,3.4,33,1019,2.7
98.5,64,0.03,2.2,23,1023,1.8
15,65,0.01,3.5,34,1022,2.7
19.4,66,0,0,16,1027,2.5
22.8,67,0,0.7,42,1024,2.7
12.4,68,0,3.9,39,1024,3
9.8,69,0.01,4.6,40,1023,2.8
25.8,70,0.27,2.7,35,1019,2.3
60.9,71,2.22,4.4,37,1017,2.1
12.1,72,0,4.6,43,1025,2.3
8.8,73,0.36,6.7,42,1023,2.7
38.4,74,0.09,6.7,30,1022,2.4
51.3,75,0.01,6.5,34,1021,1.8
36.1,76,0.01,8.6,57,1018,2.2
31.6,77,1.17,11.3,55,1012,2.6
18.1,78,6.59,9.4,30,1007,2.8
8.3,79,3.18,9.9,25,1000,3.4
14.4,80,0.05,7.3,57,1012,2.2
19.7,81,1.08,8.5,47,1014,2.9
59.7,82,1.24,6,46,1012,1.7
48.3,83,4.37,9.7,41,1002,1.7
23.2,84,6.72,11.2,30,996,2.3
10,85,0.55,9,56,997,3.7
17.8,86,1.61,8.9,64,1001,2.3
13.9,87,4.51,8,54,1003,2.5
28.9,88,9.77,8.3,33,995,2
13.9,89,7.09,9.6,40,983,3.3
16.4,90,0.76,4.1,37,985,4.5
20.8,91,1.75,4.5,63,1002,3.3
8.3,92,6.52,5.9,48,999,3.1
9.5,93,4.44,6.9,60,996,2.3
14.8,94,0.13,6.5,47,1006,2.4
11.9,95,0,7.5,61,1017,2.9
25.7,96,0.03,10.7,75,1012,2.7
70.5,97,0.37,8.4,41,1014,1.7
59.8,98,0.01,8.1,61,1026,1.5
126.2,99,0.03,9.6,89,1030,1.2
32.2,100,0,10.8,80,1030,1.6
6.4,101,0,9.5,80,1025,3.1
12.7,102,0.03,8.7,80,1022,3.1
13.4,103,0,7.8,86,1020,3.2
18.9,104,0.03,8.9,42,1017,2.3
13.7,105,0,7,86,1019,2.7
16.9,106,0.07,7.9,82,1023,2.2
47.4,107,0.03,7.8,83,1018,1.1
53.3,108,0.01,8.1,106,1012,1.4
27.5,109,0.05,8.8,88,1013,2
20.9,110,0.01,7,111,1014,2.6
23.2,111,0,5.3,113,1017,2
42.5,112,0.03,6.2,114,1015,1.5
60.5,113,0,8.3,118,1013,1.5
55,114,1.12,11.1,117,1015,1.7
43.2,115,0.86,13.3,72,1016,2.1
49,116,0.04,12.4,73,1022,2
65.1,117,0,11.4,144,1024,1.4
41.9,118,0.01,14,116,1017,1.9
69.9,119,2.86,12.1,92,1007,1.4
19.1,120,1.8,9.8,85,1005,3.1
18.5,121,10.41,11.1,91,1005,1.7
10,122,8.35,7.6,40,1007,2.7
9.7,123,0.24,6.7,114,1017,3.3
25,124,0.02,6.6,126,1022,2.4
49.4,125,0.01,9.4,101,1016,1.4
15.9,126,0,10.4,185,1009,2.1
17.8,127,0.7,9.1,101,1008,2.4
15.3,128,1.03,8.4,43,1008,2.4
10.7,129,0.11,8.3,71,1008,2
